pose,start,end,duration_s
Standing,2025-08-08T09:59:38.179181,2025-08-08T09:59:39.760333,1.581152
Squatting,2025-08-08T09:59:39.760333,2025-08-08T09:59:41.251820,1.491487
Standing,2025-08-08T09:59:41.251820,2025-08-08T09:59:42.437090,1.18527
Squatting,2025-08-08T09:59:42.437090,2025-08-08T09:59:44.097769,1.660679
Standing,2025-08-08T09:59:44.097769,2025-08-08T09:59:45.402384,1.304615
Squatting,2025-08-08T09:59:45.402384,2025-08-08T09:59:47.004374,1.60199
Standing,2025-08-08T09:59:47.004374,2025-08-08T09:59:48.368116,1.363742
Squatting,2025-08-08T09:59:48.368116,2025-08-08T09:59:49.971212,1.603096
Standing,2025-08-08T09:59:49.971212,2025-08-08T09:59:51.395178,1.423966
Squatting,2025-08-08T09:59:51.395178,2025-08-08T09:59:52.996544,1.601366
Standing,2025-08-08T09:59:52.996544,2025-08-08T09:59:54.307634,1.31109
Squatting,2025-08-08T09:59:54.307634,2025-08-08T09:59:55.968098,1.660464
Standing,2025-08-08T09:59:55.968098,2025-08-08T09:59:57.214711,1.246613
Squatting,2025-08-08T09:59:57.214711,2025-08-08T09:59:58.876767,1.662056
Standing,2025-08-08T09:59:58.876767,2025-08-08T10:00:00.181712,1.304945
Squatting,2025-08-08T10:00:00.181712,2025-08-08T10:00:01.779814,1.598102
Standing,2025-08-08T10:00:01.779814,2025-08-08T10:00:02.015465,0.235651
